33786,"121.475,31.308",start location top 1
34224,"121.485,31.306",start location top 1
34224,"121.484,31.303",start location top 1
36208,"121.485,31.306",start location top 1
36208,"121.517,31.308",start location top 1
37386,"121.485,31.306",start location top 1
37386,"121.492,31.308",start location top 1
37846,"121.485,31.306",start location top 1
37846,"121.48,31.311",start location top 1
38520,"121.485,31.306",start location top 1
38520,"121.481,31.311",start location top 1
38569,"121.485,31.306",start location top 1
38569,"121.49,31.313",start location top 1
38686,"121.485,31.306",start location top 1
38686,"121.493,31.307",start location top 1
39740,"121.485,31.306",start location top 1
39740,"121.498,31.304",start location top 1
40214,"121.485,31.306",start location top 1
40214,"121.481,31.303",start location top 1
40303,"121.485,31.306",start location top 1
40303,"121.479,31.311",start location top 1
40324,"121.485,31.306",start location top 1
40324,"121.489,31.311",start location top 1
40384,"121.485,31.306",start location top 1
40384,"121.488,31.311",start location top 1
40507,"121.485,31.306",start location top 1
40507,"121.479,31.311",start location top 1
41094,"121.485,31.306",start location top 1
41094,"121.493,31.312",start location top 1
41889,"121.485,31.306",start location top 1
41889,"121.481,31.307",start location top 1
42529,"121.485,31.306",start location top 1
42529,"121.472,31.309",start location top 1
42657,"121.485,31.306",start location top 1
42657,"121.491,31.304",start location top 1
43181,"121.485,31.306",start location top 1
43181,"121.471,31.302",start location top 1
43569,"121.485,31.306",start location top 1
43569,"121.455,31.307",start location top 1
43665,"121.485,31.306",start location top 1
43665,"121.495,31.312",start location top 1
44180,"121.485,31.306",start location top 1
44180,"121.48,31.314",start location top 1
45363,"121.485,31.306",start location top 1
45363,"121.481,31.311",start location top 1
45588,"121.485,31.306",start location top 1
45588,"121.515,31.301",start location top 1
46501,"121.485,31.306",start location top 1
46501,"121.481,31.303",start location top 1
46691,"121.485,31.306",start location top 1
46691,"121.45,31.305",start location top 1
47046,"121.485,31.306",start location top 1
47046,"121.477,31.307",start location top 1
47406,"121.485,31.306",start location top 1
47406,"121.495,31.316",start location top 1
47780,"121.485,31.306",start location top 1
47780,"121.478,31.311",start location top 1
48060,"121.485,31.306",start location top 1
48060,"121.468,31.308",start location top 1
48448,"121.485,31.306",start location top 1
48448,"121.492,31.31",start location top 1
48604,"121.485,31.306",start location top 1
48604,"121.497,31.308",start location top 1
49457,"121.485,31.306",start location top 1
49457,"121.499,31.301",start location top 1
50052,"121.485,31.306",start location top 1
50052,"121.479,31.307",start location top 1
51385,"121.485,31.306",start location top 1
51385,"121.495,31.307",start location top 1
52986,"121.485,31.306",start location top 1
52986,"121.495,31.311",start location top 1
55386,"121.485,31.306",start location top 1
55386,"121.458,31.305",start location top 1
55691,"121.485,31.306",start location top 1
55691,"121.492,31.307",start location top 1
55804,"121.485,31.306",start location top 1
55804,"121.499,31.308",start location top 1
56229,"121.485,31.306",start location top 1
56229,"121.478,31.3",start location top 1
57381,"121.485,31.306",start location top 1
57381,"121.481,31.295",start location top 1
57462,"121.485,31.306",start location top 1
57462,"121.488,31.311",start location top 1
57688,"121.485,31.306",start location top 1
57688,"121.48,31.307",start location top 1
57711,"121.485,31.306",start location top 1
57711,"121.479,31.307",start location top 1
58509,"121.485,31.306",start location top 1
58509,"121.488,31.311",start location top 1
59614,"121.485,31.306",start location top 1
59614,"121.479,31.311",start location top 1
59615,"121.485,31.306",start location top 1
59615,"121.5,31.301",start location top 1
60138,"121.485,31.306",start location top 1
60138,"121.492,31.311",start location top 1
60461,"121.485,31.306",start location top 1
60461,"121.509,31.303",start location top 1
61056,"121.485,31.306",start location top 1
61056,"121.462,31.313",start location top 1
61436,"121.485,31.306",start location top 1
61436,"121.497,31.302",start location top 1
61614,"121.485,31.306",start location top 1
61614,"121.49,31.313",start location top 1
62704,"121.485,31.306",start location top 1
62704,"121.493,31.312",start location top 1
62759,"121.485,31.306",start location top 1
62759,"121.488,31.315",start location top 1
62852,"121.485,31.306",start location top 1
62852,"121.48,31.311",start location top 1
63367,"121.485,31.306",start location top 1
63367,"121.507,31.268",start location top 1
63426,"121.485,31.306",start location top 1
63426,"121.467,31.304",start location top 1
63769,"121.485,31.306",start location top 1
63769,"121.487,31.308",start location top 1
64290,"121.485,31.306",start location top 1
64290,"121.492,31.312",start location top 1
64663,"121.485,31.306",start location top 1
64663,"121.478,31.311",start location top 1
65521,"121.485,31.306",start location top 1
65521,"121.496,31.31",start location top 1
65657,"121.485,31.306",start location top 1
65657,"121.493,31.307",start location top 1
65964,"121.485,31.306",start location top 1
65964,"121.511,31.302",start location top 1
66284,"121.485,31.306",start location top 1
66284,"121.488,31.311",start location top 1
66391,"121.485,31.306",start location top 1
66391,"121.481,31.32",start location top 1
66617,"121.485,31.306",start location top 1
66617,"121.473,31.301",start location top 1
66735,"121.485,31.306",start location top 1
66735,"121.468,31.3",start location top 1
67063,"121.485,31.306",start location top 1
67063,"121.488,31.311",start location top 1
67525,"121.485,31.306",start location top 1
67525,"121.477,31.307",start location top 1
67813,"121.485,31.306",start location top 1
67813,"121.492,31.315",start location top 1
68499,"121.485,31.306",start location top 1
68499,"121.49,31.304",start location top 1
68998,"121.485,31.306",start location top 1
68998,"121.493,31.312",start location top 1
69270,"121.485,31.306",start location top 1
69270,"121.493,31.311",start location top 1
69690,"121.485,31.306",start location top 1
69690,"121.493,31.307",start location top 1
71290,"121.485,31.306",start location top 1
71290,"121.492,31.311",start location top 1
72223,"121.485,31.306",start location top 1
72223,"121.48,31.312",start location top 1
73464,"121.485,31.306",start location top 1
73464,"121.49,31.308",start location top 1
74303,"121.485,31.306",start location top 1
74303,"121.476,31.303",start location top 1
74355,"121.485,31.306",start location top 1
74355,"121.493,31.312",start location top 1
74517,"121.485,31.306",start location top 1
74517,"121.481,31.311",start location top 1
75441,"121.485,31.306",start location top 1
75441,"121.487,31.3",start location top 1
75912,"121.485,31.306",start location top 1
75912,"121.497,31.308",start location top 1
76056,"121.485,31.306",start location top 1
76056,"121.486,31.3",start location top 1
76248,"121.485,31.306",start location top 1
76248,"121.493,31.312",start location top 1
76318,"121.485,31.306",start location top 1
76318,"121.493,31.312",start location top 1
76590,"121.485,31.306",start location top 1
76590,"121.493,31.312",start location top 1
76993,"121.485,31.306",start location top 1
76993,"121.465,31.31",start location top 1
77183,"121.485,31.306",start location top 1
77183,"121.476,31.307",start location top 1
77416,"121.485,31.306",start location top 1
77416,"121.49,31.305",start location top 1
77499,"121.485,31.306",start location top 1
77499,"121.486,31.297",start location top 1
78104,"121.485,31.306",start location top 1
